src,tgt,tau,p_combined,weight_mean,weight_std,n_scenes,total_observations
obj_count,obj_count,2,0.0,0.8168914441331698,0.1259216750266089,167,167
min_distance_proxy,min_distance_proxy,1,0.0,0.7848842982833347,0.11925289534563373,1331,1331
min_distance_proxy,min_distance_proxy,2,0.0,0.7792883981063323,0.1856987449984513,271,271
q10_risk_speed,q10_risk_speed,1,0.0,0.7772584627832262,0.08642500452922118,1322,1322
q90_closing_rate,q90_closing_rate,1,0.0,0.7748998564385939,0.09007190684498584,1299,1299
q05_ttc_eff,q05_ttc_eff,1,0.0,0.760416357108329,0.09750876167312685,1248,1248
q90_closing_rate,q90_closing_rate,2,0.0,0.7420557378050244,0.16183552149776215,165,165
obj_count,q05_ttc_eff,1,0.0,0.7278831404738079,0.16112916925327447,89,89
ego_speed,ego_speed,1,0.0,0.7277177886405218,0.09943256438502683,1107,1107
q10_risk_speed,min_distance_proxy,1,0.0,0.7242803222502436,0.1642541450821571,89,89
q05_ttc_eff,min_distance_proxy,1,0.0,0.7148499569129272,0.15538873478513104,107,107
q90_closing_rate,obj_count,2,0.0,0.7118133896340475,0.1486113151203952,70,70
q90_closing_rate,obj_count,1,0.0,0.7070593176924421,0.1493725340098909,100,100
obj_count,obj_count,1,0.0,0.7062862502943111,0.09803344009232874,1153,1153
min_distance_proxy,obj_count,2,0.0,0.7031529761995218,0.14139156647036466,66,66
obj_count,min_distance_proxy,1,0.0,0.7017061909074106,0.15731873762422735,84,84
q05_ttc_eff,min_distance_proxy,2,0.0,0.7008122767904206,0.14192784726225585,105,105
obj_count,q90_closing_rate,2,0.0,0.7007444060867438,0.15620409046433073,85,85
q90_closing_rate,q05_ttc_eff,1,0.0,0.7006232926985895,0.14419510654098924,92,92
q10_risk_speed,min_distance_proxy,2,0.0,0.7001542573013511,0.15841941729845857,94,94
min_distance_proxy,q05_ttc_eff,1,0.0,0.6995488682423545,0.1487831556155592,69,69
q05_ttc_eff,q10_risk_speed,1,0.0,0.6975455864819001,0.1556209366858229,95,95
q10_risk_speed,q10_risk_speed,2,0.0,0.6961776940376938,0.1694396334977128,158,158
min_distance_proxy,q05_ttc_eff,2,0.0,0.6956914840100995,0.1381257996721852,69,69
min_distance_proxy,q10_risk_speed,2,0.0,0.6948229102068023,0.17307227229222963,73,73
obj_count,q90_closing_rate,1,0.0,0.6945655715593843,0.15307567621306079,140,140
q05_ttc_eff,obj_count,1,0.0,0.6892632454014633,0.15262002857500545,68,68
min_distance_proxy,obj_count,1,0.0,0.6892329932771183,0.15277826739296127,83,83
q05_ttc_eff,q10_risk_speed,2,0.0,0.6884546364380695,0.1504661278905022,87,87
q05_ttc_eff,q90_closing_rate,1,0.0,0.6858310216758475,0.12408847357432683,92,92
min_distance_proxy,q10_risk_speed,1,0.0,0.6852785739481836,0.15505259288473147,77,77
q90_closing_rate,min_distance_proxy,1,0.0,0.6811999605713179,0.14508080600370085,130,130
min_distance_proxy,q90_closing_rate,1,0.0,0.6801180411178263,0.15144294225537028,113,113
obj_count,q05_ttc_eff,2,0.0,0.6768148556085164,0.14224184243121096,75,75
min_distance_proxy,q90_closing_rate,2,0.0,0.67561016126078,0.14320481962748696,99,99
q05_ttc_eff,q05_ttc_eff,2,0.0,0.6751569564361046,0.1415267445104392,178,178
q10_risk_speed,q05_ttc_eff,2,0.0,0.6733079801995013,0.14657052555959527,93,93
ego_speed,ego_accel,1,0.0,0.6730173727215444,0.12958916116038535,434,434
ego_accel,ego_accel,1,0.0,0.6725474496595023,0.09790539083091272,911,911
q10_risk_speed,q05_ttc_eff,1,0.0,0.672269522285427,0.15086773906213266,108,108
q90_closing_rate,q10_risk_speed,1,0.0,0.6696933362581573,0.1458501310888589,95,95
q10_risk_speed,q90_closing_rate,1,0.0,0.6689049192420227,0.1344627594366136,90,90
q90_closing_rate,min_distance_proxy,2,0.0,0.668634279275629,0.14508829860374334,112,112
q90_closing_rate,q05_ttc_eff,2,0.0,0.6666511149378866,0.1340030018562968,88,88
obj_count,min_distance_proxy,2,0.0,0.6629850353138992,0.13795486297901988,83,83
q05_ttc_eff,obj_count,2,0.0,0.66139020045037,0.13096272658429678,65,65
q90_closing_rate,q10_risk_speed,2,0.0,0.6584946445184194,0.13813766716614992,77,77
obj_count,q10_risk_speed,1,0.0,0.6571937042998176,0.13022376575387393,69,69
ego_accel,ego_speed,1,0.0,0.6567745502116052,0.13161882615415502,208,208
q10_risk_speed,obj_count,1,0.0,0.6565074572583554,0.1269009375035356,68,68
obj_count,q10_risk_speed,2,0.0,0.6545154289501947,0.12573609496383287,66,66
ego_speed,ego_speed,2,0.0,0.6526066427412256,0.14278850163205842,226,226
q10_risk_speed,ego_speed,2,0.0,0.6451194813164881,0.1135798234445326,53,53
q05_ttc_eff,ego_speed,2,0.0,0.6446014314144348,0.12905511382870527,55,55
q05_ttc_eff,q90_closing_rate,2,0.0,0.6421668803558018,0.11838540495808597,74,74
q90_closing_rate,ego_speed,2,0.0,0.6421173759655223,0.12363551761029161,61,61
q10_risk_speed,q90_closing_rate,2,0.0,0.6405621537130264,0.14033893763485178,70,70
min_distance_proxy,ego_speed,2,0.0,0.6401639505149456,0.11462278573591647,61,61
ego_speed,q05_ttc_eff,2,0.0,0.6354552017831016,0.10259700362601216,60,60
min_distance_proxy,ego_speed,1,0.0,0.6352510264164292,0.12452541013444848,63,63
ego_speed,min_distance_proxy,1,0.0,0.6337893733313074,0.13210065057007503,54,54
q10_risk_speed,obj_count,2,0.0,0.6333516464644577,0.13588807374439882,53,53
q10_risk_speed,ego_speed,1,0.0,0.631191265029452,0.12324274828306275,65,65
q10_risk_speed,ego_accel,1,0.0,0.6288891061660252,0.1165873151863547,54,54
q90_closing_rate,ego_speed,1,0.0,0.6256669595986112,0.11911003969736678,66,66
q05_ttc_eff,ego_speed,1,0.0,0.6221863549363457,0.13351037631351287,55,55
ego_speed,q10_risk_speed,2,0.0,0.6212791417942518,0.13665086924143288,60,60
ego_speed,q10_risk_speed,1,0.0,0.6182557224340706,0.12594212795832813,77,77
ego_speed,q90_closing_rate,1,0.0,0.6170298401901174,0.11510724698941402,74,74
ego_accel,q90_closing_rate,1,0.0,0.6144933725335545,0.09866093339520123,67,67
ego_speed,ego_accel,2,0.0,0.6139799998014096,0.12942158056924316,130,130
